Company Name,Sector,ESG Score
GENTING PLANTATIONS BERHAD,PLANTATION,75
GEORGE KENT (M) BHD,CONSTRUCTION,100
GE-SHEN CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,75
GFM SERVICES BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
GIIB HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
GLOBAL ORIENTAL BERHAD,PROPERTY,50
GLOBALTEC FORMATION BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
GLOBETRONICS TECHNOLOGY BHD,TECHNOLOGY,75
GLOMAC BHD,PROPERTY,50
GOLDEN LAND BERHAD,PLANTATION,50
GOLDEN PHAROS BHD,INDUSTRIAL PRODUCTS & SERVICES,75
GOPENG BHD,PLANTATION,50
GRAND CENTRAL ENTERPRISES BHD,CONSUMER PRODUCTS & SERVICES,50
GREATECH TECHNOLOGY BERHAD,TECHNOLOGY,100
GREATER BAY HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
GREEN PACKET BHD,TELECOMMUNICATIONS & MEDIA,75
GREENYIELD BHD,CONSUMER PRODUCTS & SERVICES,50
GROMUTUAL BHD,PROPERTY,50
GUAN CHONG BHD,CONSUMER PRODUCTS & SERVICES,75
GUH HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
GUOCOLAND (MALAYSIA) BHD,PROPERTY,50
HANDAL ENERGY BERHAD,ENERGY,50
HAP SENG CONSOLIDATED BHD,INDUSTRIAL PRODUCTS & SERVICES,75
HAP SENG PLANTATIONS HOLDINGS,PLANTATION,75
HARBOUR-LINK GROUP BHD,TRANSPORTATION & LOGISTICS,75
HARN LEN CORPORATION BHD,PLANTATION,50
HARRISONS HOLDINGS (M) BHD,CONSUMER PRODUCTS & SERVICES,50
HARTALEGA HOLDINGS BHD,HEALTH CARE,100
HB GLOBAL LIMITED,CONSUMER PRODUCTS & SERVICES,50
HCK CAPITAL GROUP BERHAD,PROPERTY,50
HEINEKEN MALAYSIA BERHAD,CONSUMER PRODUCTS & SERVICES,100
HEITECH PADU BHD,TECHNOLOGY,75
HEKTAR REITS,REAL ESTATE INVESTMENT TRUSTS,75
HENGYUAN REFINING COMPANY BERHAD,ENERGY,100
HEVEABOARD BHD,INDUSTRIAL PRODUCTS & SERVICES,75
HEXTAR GLOBAL BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
HEXTAR HEALTHCARE BERHAD,HEALTH CARE,100
HEXTAR INDUSTRIES BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
HEXTAR RETAIL BERHAD,CONSUMER PRODUCTS & SERVICES,75
HEXTAR TECHNOLOGIES SOLUTIONS BERHAD,TRANSPORTATION & LOGISTICS,50
HEXZA CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,50
HIAP TECK VENTURE BHD,INDUSTRIAL PRODUCTS & SERVICES,75
HIBISCUS PETROLEUM BHD,ENERGY,75
HIL INDUSTRIES BHD,INDUSTRIAL PRODUCTS & SERVICES,50
HO HUP CONSTRUCTION COMPANY,CONSTRUCTION,50
HO WAH GENTING BHD,INDUSTRIAL PRODUCTS & SERVICES,50
HOMERITZ CORPORATION BERHAD,CONSUMER PRODUCTS & SERVICES,75
HONG LEONG BANK BHD,FINANCIAL SERVICES,100
HONG LEONG CAPITAL BERHAD,FINANCIAL SERVICES,75
HONG LEONG FINANCIAL GROUP BHD,FINANCIAL SERVICES,100
HONG LEONG INDUSTRIES BHD,CONSUMER PRODUCTS & SERVICES,100
HONG SENG CONSOLIDATED BERHAD,TECHNOLOGY,75
HPMT HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
HSS ENGINEERS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
HUA YANG BHD,PROPERTY,50
HUBLINE BHD,TRANSPORTATION & LOGISTICS,75
HUME CEMENT INDUSTRIES BERHAD,INDUSTRIAL PRODUCTS & SERVICES,100
HUP SENG INDUSTRIES BHD,CONSUMER PRODUCTS & SERVICES,75
HWA TAI INDUSTRIES BHD,CONSUMER PRODUCTS & SERVICES,50
I-BHD,PROPERTY,50
IBRACO BHD,PROPERTY,75
ICAPITAL.BIZ BHD,CLOSED END FUND,75
ICONIC WORLDWIDE BERHAD,CONSUMER PRODUCTS & SERVICES,50
IDEAL CAPITAL BERHAD,PROPERTY,25
IGB BERHAD,PROPERTY,75
IGB COMMERCIAL REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS,75
IGB REAL ESTATE INV TRUST,REAL ESTATE INVESTMENT TRUSTS,75
IHH HEALTHCARE BERHAD,HEALTH CARE,75
IJM CORPORATION BHD,CONSTRUCTION,75
IMASPRO CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,50
INARI AMERTRON BERHAD,TECHNOLOGY,100
INCH KENNETH KAJANG RUBBER PLC,PLANTATION,50
INDUSTRONICS BHD,TECHNOLOGY,50
INFOLINE TEC GROUP BERHAD,TECHNOLOGY,50
INFRAHARTA HOLDINGS BERHAD,CONSTRUCTION,50
INGENIEUR GUDANG BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
INNATURE BERHAD,CONSUMER PRODUCTS & SERVICES,100
INNOPRISE PLANTATIONS BERHAD,PLANTATION,50
INSAS BHD,FINANCIAL SERVICES,50
INTA BINA GROUP BERHAD,CONSTRUCTION,50
IOI CORPORATION BHD,PLANTATION,100
IOI PROPERTIES GROUP BERHAD,PROPERTY,100
IQ GROUP HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
IREKA CORPORATION BHD,CONSTRUCTION,50
ISKANDAR WATERFRONT CITY BERHAD,PROPERTY,50
ITMAX SYSTEM BERHAD,TECHNOLOGY,50
IVORY PROPERTIES GROUP BERHAD,PROPERTY,50
JADI IMAGING HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
JAKS RESOURCES BERHAD,CONSTRUCTION,75
JASA KITA BHD,INDUSTRIAL PRODUCTS & SERVICES,50
JAYA TIASA HOLDINGS BHD,PLANTATION,75
JAYCORP BHD,CONSUMER PRODUCTS & SERVICES,50
JCBNEXT BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
JCY INTERNATIONAL BERHAD,TECHNOLOGY,50
JENTAYU SUSTAINABLES BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
JF TECHNOLOGY BHD,TECHNOLOGY,75
JHM CONSOLIDATION BHD,TECHNOLOGY,75
JIANKUN INTERNATIONAL BERHAD,PROPERTY,50
JKG LAND BERHAD,PROPERTY,75
JOE HOLDING BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
JOHAN HOLDINGS BHD,FINANCIAL SERVICES,75
K. SENG SENG CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,75
KAMDAR GROUP(M)BHD,CONSUMER PRODUCTS & SERVICES,50
KAREX BERHAD,CONSUMER PRODUCTS & SERVICES,100
KARYON INDUSTRIES BHD,INDUSTRIAL PRODUCTS & SERVICES,75
KAWAN FOOD BHD,CONSUMER PRODUCTS & SERVICES,100
KECK SENG (M) BHD,INDUSTRIAL PRODUCTS & SERVICES,50
KEIN HING INTERNATIONAL BHD,INDUSTRIAL PRODUCTS & SERVICES,50
KELINGTON GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,100
KEN HOLDINGS BHD,PROPERTY,50
KENANGA INVESTMENT BANK BERHAD,FINANCIAL SERVICES,100
KERJAYA PROSPEK GROUP BERHAD,CONSTRUCTION,75
KERJAYA PROSPEK PROPERTY BERHAD,PROPERTY,50
KESM INDUSTRIES BHD,TECHNOLOGY,75
KEY ASIC BHD,TECHNOLOGY,50
KHEE SAN BHD,CONSUMER PRODUCTS & SERVICES,50
KHIND HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
KIA LIM BHD,INDUSTRIAL PRODUCTS & SERVICES,50
KIM HIN INDUSTRY BHD,INDUSTRIAL PRODUCTS & SERVICES,50
KIM LOONG RESOURCES BHD,PLANTATION,50
KIM TECK CHEONG CONSOLIDATED BERHAD,CONSUMER PRODUCTS & SERVICES,50
KIMLUN CORPORATION BERHAD,CONSTRUCTION,50
KINERGY ADVANCEMENT BERHAD,ENERGY,75
KIP REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS,75
KKB ENGINEERING BHD,INDUSTRIAL PRODUCTS & SERVICES,50
KLCC PROP&REITS-STAPLED SEC,REAL ESTATE INVESTMENT TRUSTS,75
KLUANG RUBBER CO (M) BHD,PLANTATION,50
KNM GROUP BHD,ENERGY,50
KNUSFORD BHD,INDUSTRIAL PRODUCTS & SERVICES,75
KOBAY TECHNOLOGY BHD,INDUSTRIAL PRODUCTS & SERVICES,50
KOMARKCORP BHD,INDUSTRIAL PRODUCTS & SERVICES,75
KOSSAN RUBBER INDUSTRIES BHD,HEALTH CARE,100
KOTRA INDUSTRIES BHD,HEALTH CARE,75
KPJ HEALTHCARE BHD,HEALTH CARE,100
KPS CONSORTIUM BHD,INDUSTRIAL PRODUCTS & SERVICES,50
KRETAM HOLDINGS BHD,PLANTATION,50
KSL HOLDINGS BHD,PROPERTY,75
KUALA LUMPUR KEPONG BHD,PLANTATION,75
KUB MALAYSIA BHD,INDUSTRIAL PRODUCTS & SERVICES,75
KUCHAI DEVELOPMENT BHD,FINANCIAL SERVICES,50
KUMPULAN FIMA BHD,INDUSTRIAL PRODUCTS & SERVICES,50
KUMPULAN H&L HIGH-TECH BHD,INDUSTRIAL PRODUCTS & SERVICES,50
KUMPULAN JETSON BHD,INDUSTRIAL PRODUCTS & SERVICES,50
KUMPULAN KITACON BERHAD,CONSTRUCTION,50
KUMPULAN PERANGSANG SELANGOR,INDUSTRIAL PRODUCTS & SERVICES,75
KYM HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
L&P GLOBAL BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
LAGENDA PROPERTIES BERHAD,PROPERTY,75
LAND & GENERAL BHD,PROPERTY,75
LANDMARKS BHD,CONSUMER PRODUCTS & SERVICES,50
LAY HONG BHD,CONSUMER PRODUCTS & SERVICES,50
LB ALUMINIUM BHD,INDUSTRIAL PRODUCTS & SERVICES,75
LBI CAPITAL BHD,PROPERTY,25
LBS BINA GROUP BHD,PROPERTY,75
LEADER STEEL HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
LEBTECH BERHAD,CONSTRUCTION,25
LEE SWEE KIAT GROUP BHD,CONSUMER PRODUCTS & SERVICES,75
LEON FUAT BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
LEONG HUP INTERNATIONAL BERHAD,CONSUMER PRODUCTS & SERVICES,50
LFE CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,50
LIANSON FLEET GROUP BERHAD,ENERGY,75
LIEN HOE CORPORATION BHD,PROPERTY,50
LII HEN INDUSTRIES BHD,CONSUMER PRODUCTS & SERVICES,75
LION INDUSTRIES CORPORATION,INDUSTRIAL PRODUCTS & SERVICES,50
LION POSIM BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
LOTTE CHEMICAL TITAN HOLDING BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
LOTUS CIRCULAR BERHAD,CONSUMER PRODUCTS & SERVICES,50
LOTUS KFM BERHAD,CONSUMER PRODUCTS & SERVICES,50
LPI CAPITAL BHD,FINANCIAL SERVICES,75
LTKM BHD,CONSUMER PRODUCTS & SERVICES,50
